pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14
24,Quebec,Québec,09-08-2020,60471,0,5695,60471,908532,50886,84.15,107076,104,0.17,712.68,67.12,3,9.42,13036,0,6.43,3890,45.85,1888,22.25,28,0.33
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,09-08-2020,267,0,3,267,26859,263,98.50,51499,0,0.00,51.19,0.58,0,1.12,230,0,0.37,1,0.19,1,0.19,0,0.00
13,New Brunswick,Nouveau-Brunswick,09-08-2020,176,0,2,176,48106,168,95.45,61926,0,0.00,22.66,0.26,0,1.14,195,0,3.41,6,0.77,6,0.77,0,0.00
12,Nova Scotia,Nouvelle-Écosse,09-08-2020,1071,0,64,1071,67245,1006,93.93,69225,0,0.00,110.25,6.59,0,5.98,165,1,0.09,1,0.10,4,0.41,1,0.10
11,Prince Edward Island,Île-du-Prince-Édouard,09-08-2020,36,0,0,36,21616,36,100.00,137728,0,0.00,22.94,0.00,0,0.00,358,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,09-08-2020,15,0,0,15,1836,13,86.67,44941,0,0.00,36.72,0.00,0,0.00,0,0,13.33,2,4.90,1,2.45,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,09-08-2020,5,0,0,5,3017,5,100.00,67305,0,0.00,11.15,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,09-08-2020,0,0,0,0,1458,0,N/A,37597,0,0.00,0.00,0.00,0,,0,0,,,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,09-08-2020,13,0,0,13,76,13,100.00,,0,0.00,,,0,0.00,0,0,0.00,0,,0,,0,
1,Canada,Canada,09-08-2020,119436,15,8981,119451,4447810,103728,86.84,118327,230,0.19,317.78,23.89,5,7.52,43772,162,5.64,6742,17.94,5540,14.74,91,0.24
59,British Columbia,Colombie-Britannique,10-08-2020,4065,0,195,4065,244680,3425,84.26,48248,131,3.33,80.16,3.85,0,4.80,3455,72,10.95,445,8.77,565,11.14,2,0.04
48,Alberta,Alberta,10-08-2020,11687,0,213,11687,631295,10384,88.85,144418,257,2.25,267.36,4.87,5,1.82,18074,287,9.33,1090,24.94,1297,29.67,27,0.62
47,Saskatchewan,Saskatchewan,10-08-2020,1450,0,20,1450,97404,1265,87.24,82935,5,0.35,123.46,1.70,0,1.38,1073,8,11.38,165,14.05,241,20.52,4,0.34
46,Manitoba,Manitoba,10-08-2020,543,15,8,558,101101,354,63.44,73825,16,2.95,40.75,0.58,0,1.43,4548,2,35.13,196,14.31,158,11.54,1,0.07
35,Ontario,Ontario,10-08-2020,40161,0,2786,40161,2343281,36381,90.59,160867,115,0.29,275.71,19.13,0,6.94,21546,102,2.48,994,6.82,1362,9.35,22,0.15
24,Quebec,Québec,10-08-2020,60627,0,5696,60627,916301,53041,87.49,107991,156,0.26,714.52,67.13,1,9.40,7769,2155,3.12,1890,22.27,1899,22.38,29,0.34
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10-08-2020,268,0,3,268,27045,263,98.13,51856,1,0.37,51.39,0.58,0,1.12,186,0,0.75,2,0.38,2,0.38,0,0.00
13,New Brunswick,Nouveau-Brunswick,10-08-2020,176,0,2,176,48330,168,95.45,62215,0,0.00,22.66,0.26,0,1.14,224,0,3.41,6,0.77,6,0.77,0,0.00
12,Nova Scotia,Nouvelle-Écosse,10-08-2020,1071,0,64,1071,67446,1007,94.02,69432,0,0.00,110.25,6.59,0,5.98,201,1,0.00,0,0.00,4,0.41,1,0.10
11,Prince Edward Island,Île-du-Prince-Édouard,10-08-2020,36,0,0,36,21805,36,100.00,138932,0,0.00,22.94,0.00,0,0.00,189,0,0.00,0,0.00,0,0.00,0,0.00
